DATE,POP SOFTWARE NAME,TV_SOFTWARE_NAME,LICENSE_REQUIRED,POP QTY,TV QTY,VARIANCE
20211013,,7-PDF SPLIT AND MERGE,LIC REQD,0,9,-9
20211013,,8X8 - VIRTUAL OFFICE,LIC REQD,0,8,-8
20211013,,8X8 VIDEO MEETINGS,LIC REQD,0,1,-1
20211013,,8X8 WORK,LIC REQD,0,5,-5
20211013,,ABBYY FINEREADER 12 PRO,LIC REQD,0,5,-5
20211013,,ABBYY FINEREADER 14,LIC REQD,0,1,-1
20211013,ACL DATA FULL (AN) - 1 LICENSE,ACL DATA FULL (AN) - 1 LICENSE,LIC REQD,8,1,7
20211013,,ADOBE ACROBAT (PERPETUAL LICENSE),LIC REQD,0,3475,-3475
20211013,,ADOBE ANIMATE CC 2021,LIC REQD,0,1,-1
20211013,,ALPHACOM,LIC REQD,0,1,-1
20211013,,ALPHAMAX3,LIC REQD,0,6,-6
20211013,,ARCGIS DESKTOP,LIC REQD,0,17,-17
20211013,,ARTICULATE STORYLINE 3,LIC REQD,0,6,-6
20211013,,ASAP UTILITIES,LIC REQD,0,25,-25
20211013,,ASSISTIVE CONTROL (MAC),LIC REQD,0,10,-10
20211013,,AUTODESK 360,LIC REQD,0,2,-2
20211013,,AUTODESK AUTOCAD,LIC REQD,0,1,-1
20211013,AUTODESK AUTOCAD LT 2014,AUTODESK AUTOCAD LT 2014,LIC REQD,1,2,-1
20211013,,AUTODESK FUSION 360,LIC REQD,0,1,-1
20211013,,AUTOMATION ANYWHERE BOT AGENT,LIC REQD,0,3,-3
20211013,,AnyDesk,LIC REQD,0,10,-10
20211013,,BANDICAM,LIC REQD,0,1,-1
20211013,,BARTENDER 2 (MAC),LIC REQD,0,1,-1
20211013,,BETTERSNAPTOOL (MAC),LIC REQD,0,1,-1
20211013,,BLUEBEAM PDF REVU,LIC REQD,0,8,-8
20211013,,BRIA,LIC REQD,0,13,-13
20211013,,BULLZIP PDF PRINTER,LIC REQD,0,2,-2
20211013,,BYTEFENCE ANTI-MALWARE,LIC REQD,0,1,-1
20211013,,Bluebeam Revu CAD,LIC REQD,0,13,-13
20211013,,Budled with wondershare,LIC REQD,0,3,-3
20211013,,Bundled with shoretel phone,LIC REQD,0,1,-1
20211013,,CAMTASIA,LIC REQD,0,2,-2
20211013,,CCLEANER,LIC REQD,0,2,-2
20211013,,CDTCLIENT (PEARSON),LIC REQD,0,1,-1
20211013,,CHRONOTRON PRO,LIC REQD,0,66,-66
20211013,,CINEMA 4D,LIC REQD,0,2,-2
20211013,,CINEWARE,LIC REQD,0,2,-2
20211013,,CIS-Cerner,LIC REQD,0,4,-4
20211013,,CISCO ANYCONNECT SECURE MOBILITY CLIENT,LIC REQD,0,53,-53
20211013,,CISCO IP COMMUNICATOR,LIC REQD,0,3,-3
20211013,,CISCO JABBER,LIC REQD,0,3,-3
20211013,,CLEANMYMAC X UPDATER,LIC REQD,0,1,-1
20211013,,COMMANDLINE,LIC REQD,0,2,-2
20211013,,COPS_1_0_32 (MAC),LIC REQD,0,3,-3
20211013,,COPYTRANS HEIC FOR WINDOWS,LIC REQD,0,1,-1
20211013,,CORELOCATIONAGENT,LIC REQD,0,10,-10
20211013,,CORESERVICESUIAGENT,LIC REQD,0,10,-10
20211013,,CRYSTAL REPORT,LIC REQD,0,22,-22
20211013,,CUTEPDF FORM FILLER 3.5,LIC REQD,0,1,-1
20211013,,CUTEPDF PROFESSIONAL 3.4,LIC REQD,0,28,-28
20211013,,CUTEPDF PROFESSIONAL 3.6,LIC REQD,0,1,-1
20211013,,DATABASE EVENTS,LIC REQD,0,10,-10
20211013,,DISCORD,LIC REQD,0,3,-3
20211013,,DISK DOCTOR,LIC REQD,0,1,-1
20211013,,DUO AUTHENTICATION FOR WINDOWS LOGON X64,LIC REQD,0,3,-3
20211013,,Devart Code Compare,LIC REQD,0,2,-2
