DATE,Software_Tag,License_Required,TV_Qty
20211109,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),192
20211109,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),85
20211109,Messenger,NO LIC REQD (UNAUTHORIZED),15
20211109,GAMES,NO LIC REQD (UNAUTHORIZED),11
20211109,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),6
20211109,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),5
20211109,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211109,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211109,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211109,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211109,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211109,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211109,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211109,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211109,SNIPER ELITE,NO LIC REQD (UNAUTHORIZED),1
20211109,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211109,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211109,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211109,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),1
20211109,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211109,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211109,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
20211122,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),187
20211122,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),92
20211122,Messenger,NO LIC REQD (UNAUTHORIZED),16
20211122,GAMES,NO LIC REQD (UNAUTHORIZED),11
20211122,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),6
20211122,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),5
20211122,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211122,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211122,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211122,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211122,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211122,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211122,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211122,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211122,SNIPER ELITE,NO LIC REQD (UNAUTHORIZED),1
20211122,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211122,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211122,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211122,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),1
20211122,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211122,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211122,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
20211206,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),182
20211206,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),90
20211206,Messenger,NO LIC REQD (UNAUTHORIZED),15
20211206,GAMES,NO LIC REQD (UNAUTHORIZED),13
20211206,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),6
20211206,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),5
20211206,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211206,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211206,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211206,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211206,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211206,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211206,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211206,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211206,SNIPER ELITE,NO LIC REQD (UNAUTHORIZED),1
20211206,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211206,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211206,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211206,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),1
20211206,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211206,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211206,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
20211213,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),175
20211213,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),90
20211213,Messenger,NO LIC REQD (UNAUTHORIZED),16
20211213,GAMES,NO LIC REQD (UNAUTHORIZED),12
20211213,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),8
20211213,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),5
20211213,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211213,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211213,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211213,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211213,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211213,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211213,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211213,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211213,SNIPER ELITE,NO LIC REQD (UNAUTHORIZED),1
20211213,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211213,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211213,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211213,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),1
20211213,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211213,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211213,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
20211220,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),163
20211220,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),87
20211220,Messenger,NO LIC REQD (UNAUTHORIZED),15
20211220,GAMES,NO LIC REQD (UNAUTHORIZED),12
20211220,ADOBE ACROBAT STANDARD XI,LIC REQD (OBSOLETE),11
20211220,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),7
20211220,ADOBE ACROBAT,LIC REQD (OBSOLETE),6
20211220,Quickbooks,LIC REQD (OBSOLETE),5
20211220,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),4
20211220,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211220,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),2
20211220,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211220,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211220,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211220,MICROSOFT SQL SERVER 2008,LIC REQD (OBSOLETE),2
20211220,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211220,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211220,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211220,Microsoft Office 2007,LIC REQD (OBSOLETE),1
20211220,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211220,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211220,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211220,MICROSOFT SQL SERVER 2005,LIC REQD (OBSOLETE),1
20211220,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211220,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211220,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211220,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
20211227,MICROSOFT OFFICE HOME AND BUSINESS 2010,LIC REQD (OBSOLETE),163
20211227,MICROSOFT LYNC AND CAL 2010,LIC REQD (OBSOLETE),87
20211227,Messenger,NO LIC REQD (UNAUTHORIZED),15
20211227,GAMES,NO LIC REQD (UNAUTHORIZED),12
20211227,ADOBE ACROBAT STANDARD XI,LIC REQD (OBSOLETE),11
20211227,ROBLOX PLAYER,NO LIC REQD (UNAUTHORIZED),7
20211227,ADOBE ACROBAT,LIC REQD (OBSOLETE),6
20211227,Quickbooks,LIC REQD (OBSOLETE),5
20211227,MICROSOFT VISIO PREMIUM 2010,LIC REQD (OBSOLETE),4
20211227,MICROSOFT VISIO STD 2010,LIC REQD (OBSOLETE),3
20211227,LEAGUE OF ANGELS,NO LIC REQD (UNAUTHORIZED),2
20211227,SHAREIT (UNAUTHORIZED SOFTWARE),NO LIC REQD (UNAUTHORIZED),2
20211227,MICROSOFT PROJECT STD 2010,LIC REQD (OBSOLETE),2
20211227,Microsoft Office 2010 Primary Interop Assemblies,NO LIC REQD (OBSOLETE),2
20211227,MICROSOFT SQL SERVER 2008,LIC REQD (OBSOLETE),2
20211227,INTERNET DOWNLOAD MANAGER,NO LIC REQD (UNAUTHORIZED),1
20211227,MISCREATED,NO LIC REQD (UNAUTHORIZED),1
20211227,GAMESPY ARCADE,NO LIC REQD (UNAUTHORIZED),1
20211227,Microsoft Office 2007,LIC REQD (OBSOLETE),1
20211227,PLARIUM PLAY,NO LIC REQD (UNAUTHORIZED),1
20211227,GAMELOOP,NO LIC REQD (UNAUTHORIZED),1
20211227,DOTA 2,NO LIC REQD (UNAUTHORIZED),1
20211227,MICROSOFT SQL SERVER 2005,LIC REQD (OBSOLETE),1
20211227,SOUNDWIRE SERVER,NO LIC REQD (UNAUTHORIZED),1
20211227,TOTAL COMMANDER,NO LIC REQD (UNAUTHORIZED),1
20211227,YTD DOWNLOADER,NO LIC REQD (UNAUTHORIZED),1
20211227,hpPreProcessing,NO LIC REQD (UNAUTHORIZED),1
